#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 266000      9.22e+00      5.66e-02      8.51e-02      1.97e-01    4.0e-04
 268000      7.09e+00      2.41e-02      7.06e-02      5.63e-02    4.0e-04
 270000      8.50e+00      4.20e-02      8.47e-02      5.21e-02    4.0e-04
 272000      9.77e+00      2.38e-03      9.73e-02      4.81e-02    3.9e-04
 274000      1.21e+01      2.46e-02      1.21e-01      8.90e-02    3.9e-04
 276000      8.22e+00      3.70e-02      7.99e-02      1.09e-01    3.9e-04
 278000      2.18e+01      7.86e-02      2.16e-01      1.84e-01    3.9e-04
 280000      6.45e+00      8.45e-04      6.31e-02      1.07e-01    3.8e-04
 282000      9.28e+00      7.66e-02      9.25e-02      3.11e-02    3.8e-04
 284000      9.11e+00      1.72e-03      9.01e-02      7.52e-02    3.8e-04
 286000      1.48e+01      2.02e-01      1.07e-01      5.65e-01    3.8e-04
 288000      1.02e+01      3.30e-02      1.02e-01      3.38e-02    3.7e-04
 290000      6.59e+00      7.51e-03      6.57e-02      3.66e-02    3.7e-04
 292000      7.11e+00      1.79e-02      6.99e-02      1.03e-01    3.7e-04
 294000      1.13e+01      7.12e-02      1.04e-01      2.39e-01    3.7e-04
 296000      1.11e+01      6.23e-02      9.35e-02      3.34e-01    3.6e-04
 298000      6.06e+00      1.82e-02      5.83e-02      9.32e-02    3.6e-04
 300000      1.14e+01      8.75e-02      1.13e-01      1.25e-01    3.6e-04
 302000      2.75e+01      1.73e-01      2.67e-01      5.06e-01    3.6e-04
 304000      2.04e+01      1.11e-01      2.01e-01      2.64e-01    3.5e-04
 306000      9.37e+00      1.26e-02      9.34e-02      4.47e-02    3.5e-04
 308000      1.01e+01      3.94e-02      9.96e-02      1.09e-01    3.5e-04
 310000      6.96e+00      1.37e-03      6.94e-02      3.50e-02    3.5e-04
 312000      6.92e+00      2.30e-02      6.62e-02      1.58e-01    3.4e-04
 314000      1.10e+01      3.69e-02      1.09e-01      7.91e-02    3.4e-04
 316000      1.03e+01      1.22e-02      1.02e-01      1.17e-01    3.4e-04
 318000      8.15e+00      1.17e-01      7.93e-02      9.90e-02    3.4e-04
 320000      8.12e+00      3.67e-02      7.84e-02      1.64e-01    3.3e-04
 322000      7.00e+00      4.17e-02      6.98e-02      2.13e-02    3.3e-04
 324000      7.38e+00      9.09e-02      6.84e-02      1.52e-01    3.3e-04
 326000      1.08e+01      1.88e-02      1.08e-01      5.95e-02    3.3e-04
 328000      1.30e+01      6.30e-02      1.23e-01      3.29e-01    3.3e-04
 330000      9.75e+00      1.52e-02      9.64e-02      1.18e-01    3.2e-04
 332000      1.61e+01      1.20e-01      1.61e-01      9.60e-02    3.2e-04
 334000      3.17e+00      2.51e-02      2.67e-02      9.59e-02    3.2e-04
 336000      1.92e+01      2.16e-01      1.77e-01      5.76e-01    3.2e-04
 338000      8.06e+00      4.43e-02      7.98e-02      6.19e-02    3.1e-04
 340000      8.70e+00      2.26e-02      8.70e-02      2.93e-02    3.1e-04
 342000      4.49e+00      5.71e-02      4.26e-02      7.79e-02    3.1e-04
 344000      6.73e+00      2.35e-02      6.49e-02      1.00e-01    3.1e-04
 346000      2.09e+02      1.70e-01      2.06e+00      3.00e+00    3.1e-04
 348000      5.97e+00      2.35e-02      5.88e-02      8.05e-02    3.0e-04
 350000      9.92e+00      1.93e-02      9.88e-02      4.98e-02    3.0e-04
 352000      1.06e+01      2.54e-02      1.06e-01      2.87e-02    3.0e-04
 354000      1.25e+01      3.47e-02      1.24e-01      8.31e-02    3.0e-04
 356000      1.53e+01      1.82e-01      1.52e-01      1.39e-01    3.0e-04
 358000      9.78e+00      9.40e-02      9.70e-02      9.06e-02    2.9e-04
 360000      3.50e+00      2.82e-02      3.01e-02      9.92e-02    2.9e-04
 362000      8.88e+00      1.17e-02      8.77e-02      7.70e-02    2.9e-04
 364000      1.44e+01      5.95e-02      1.42e-01      2.20e-01    2.9e-04
 366000      9.01e+00      1.42e-01      8.92e-02      8.51e-02    2.9e-04
 368000      1.14e+01      2.04e-01      1.13e-01      7.21e-02    2.8e-04
 370000      6.07e+00      1.33e-01      5.60e-02      1.79e-01    2.8e-04
 372000      7.14e+00      4.15e-02      6.60e-02      1.52e-01    2.8e-04
 374000      1.66e+01      1.23e-01      1.65e-01      1.69e-01    2.8e-04
 376000      1.04e+01      1.75e-02      1.04e-01      9.57e-02    2.8e-04
 378000      1.98e+01      3.59e-01      1.93e-01      3.26e-01    2.7e-04
 380000      1.15e+01      4.68e-02      1.14e-01      1.30e-01    2.7e-04
 382000      1.23e+01      4.42e-01      4.93e-02      6.11e-01    2.7e-04
 384000      3.63e+00      5.30e-02      3.62e-02      6.68e-03    2.7e-04
 386000      8.11e+00      2.51e-02      8.03e-02      9.56e-02    2.7e-04
 388000      6.28e+00      6.26e-02      6.21e-02      7.41e-02    2.7e-04
 390000      2.09e+01      3.83e-01      1.99e-01      3.27e-01    2.6e-04
 392000      1.02e+01      3.42e-02      1.02e-01      5.81e-02    2.6e-04
 394000      3.29e+01      2.33e-01      3.23e-01      4.87e-01    2.6e-04
 396000      1.45e+01      8.31e-02      1.44e-01      1.23e-01    2.6e-04
 398000      1.03e+01      1.24e-02      1.03e-01      1.94e-02    2.6e-04
 400000      5.02e+00      4.88e-03      3.72e-02      1.92e-01    2.5e-04
 402000      8.47e+00      2.12e-02      8.41e-02      8.21e-02    2.5e-04
 404000      6.11e+00      1.92e-02      5.98e-02      9.80e-02    2.5e-04
 406000      6.10e+00      6.27e-02      6.09e-02      2.43e-02    2.5e-04
 408000      1.08e+01      1.91e-02      1.08e-01      9.66e-02    2.5e-04
 410000      7.35e+00      4.16e-02      7.12e-02      1.44e-01    2.5e-04
 412000      5.93e+00      1.03e-01      5.35e-02      1.98e-01    2.4e-04
 414000      6.57e+00      1.08e-02      6.51e-02      5.13e-02    2.4e-04
