#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 570000      1.70e+01      1.43e-02      1.69e-01      1.31e-01    1.4e-04
 572000      1.10e+01      4.84e-02      1.09e-01      1.08e-01    1.4e-04
 574000      2.40e+01      5.44e-02      2.38e-01      1.96e-01    1.4e-04
 576000      9.22e+00      1.22e-01      9.21e-02      3.06e-02    1.4e-04
 578000      2.34e+01      1.87e-02      2.33e-01      7.56e-02    1.4e-04
 580000      3.01e+01      7.87e-02      3.00e-01      1.77e-01    1.4e-04
 582000      5.89e+00      2.53e-02      5.57e-02      1.06e-01    1.4e-04
 584000      2.11e+01      1.47e-01      2.01e-01      3.63e-01    1.4e-04
 586000      2.49e+01      8.81e-03      2.49e-01      5.69e-02    1.3e-04
 588000      1.08e+01      1.12e-02      1.07e-01      1.28e-01    1.3e-04
 590000      9.13e+00      4.17e-02      8.73e-02      1.52e-01    1.3e-04
 592000      1.20e+01      5.45e-02      1.20e-01      3.91e-02    1.3e-04
 594000      2.36e+01      4.61e-03      2.34e-01      1.73e-01    1.3e-04
 596000      9.49e+00      2.53e-02      9.46e-02      6.23e-02    1.3e-04
 598000      7.35e+00      2.40e-02      7.04e-02      1.18e-01    1.3e-04
 600000      6.38e+00      4.72e-02      6.33e-02      6.40e-02    1.3e-04
 602000      1.20e+01      1.24e-01      1.16e-01      1.50e-01    1.3e-04
 604000      1.06e+01      1.02e-01      1.06e-01      3.48e-02    1.3e-04
 606000      5.57e+00      5.65e-02      5.53e-02      5.53e-02    1.3e-04
 608000      7.87e+00      3.08e-02      7.38e-02      1.53e-01    1.3e-04
 610000      1.19e+01      3.46e-02      1.19e-01      3.93e-02    1.2e-04
 612000      2.05e+01      1.83e-01      1.99e-01      2.74e-01    1.2e-04
 614000      7.13e+00      2.82e-02      7.10e-02      3.96e-02    1.2e-04
 616000      1.82e+01      1.77e-01      1.70e-01      5.13e-01    1.2e-04
 618000      4.52e+00      1.45e-02      4.08e-02      1.48e-01    1.2e-04
